question,intent,pet_type,category,age_group,answer
fish has fever with breathing problem,emergency_warning,fish,medicine,adult,This may be serious. Please contact a veterinarian immediately.
medicine for fish diarrhea,health_warning,fish,medicine,adult,Consult a veterinarian for medical concerns.
medicine for fish diarrhea with breathing problem,emergency_warning,fish,medicine,adult,This may be serious. Please contact a veterinarian immediately.
How to take care of my fish?,general_pet_care,fish,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
pet care routine for adult,general_pet_care,fish,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
daily care tips for fish,general_pet_care,fish,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
new pet owner advice,general_pet_care,fish,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
how much water should fish drink,general_pet_care,fish,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
Which food is good for my adult?,food_advice,rabbit,food,adult,Choose balanced age-specific food with quality protein.
Which food is good for my adult? under 1500 taka,product_recommendation,rabbit,food,adult,I can suggest budget-friendly food options.
Best rabbit food under 1000 BDT,food_advice,rabbit,food,adult,Choose balanced age-specific food with quality protein.
Best rabbit food under 1000 BDT under 1500 taka,product_recommendation,rabbit,food,adult,I can suggest budget-friendly food options.
amar khorgosh er jonno valo food chai,food_advice,rabbit,food,adult,Choose balanced age-specific food with quality protein.
amar khorgosh er jonno valo food chai under 1500 taka,product_recommendation,rabbit,food,adult,I can suggest budget-friendly food options.
adult er jonno kon khabar valo?,food_advice,rabbit,food,adult,Choose balanced age-specific food with quality protein.
adult er jonno kon khabar valo? under 1500 taka,product_recommendation,rabbit,food,adult,I can suggest budget-friendly food options.
Need budget rabbit food,food_advice,rabbit,food,adult,Choose balanced age-specific food with quality protein.
Need budget rabbit food under 1500 taka,product_recommendation,rabbit,food,adult,I can suggest budget-friendly food options.
How often should I groom my rabbit?,grooming_advice,rabbit,grooming,adult,Groom regularly based on coat type and season.
rabbit er grooming kotodin por por kora uchit?,grooming_advice,rabbit,grooming,adult,Groom regularly based on coat type and season.
best shampoo for my adult,grooming_advice,rabbit,grooming,adult,Groom regularly based on coat type and season.
puppy er jonno kon shampoo valo?,grooming_advice,rabbit,grooming,adult,Groom regularly based on coat type and season.
cat grooming tips please,grooming_advice,rabbit,grooming,adult,Groom regularly based on coat type and season.
My rabbit is not eating what should I do?,health_warning,rabbit,medicine,adult,Consult a veterinarian for medical concerns.
My rabbit is not eating what should I do? with breathing problem,emergency_warning,rabbit,medicine,adult,This may be serious. Please contact a veterinarian immediately.
rabbit vomiting and weak,health_warning,rabbit,medicine,adult,Consult a veterinarian for medical concerns.
rabbit vomiting and weak with breathing problem,emergency_warning,rabbit,medicine,adult,This may be serious. Please contact a veterinarian immediately.
amar khorgosh khabar khacche na,health_warning,rabbit,medicine,adult,Consult a veterinarian for medical concerns.
amar khorgosh khabar khacche na with breathing problem,emergency_warning,rabbit,medicine,adult,This may be serious. Please contact a veterinarian immediately.
rabbit has fever,health_warning,rabbit,medicine,adult,Consult a veterinarian for medical concerns.
rabbit has fever with breathing problem,emergency_warning,rabbit,medicine,adult,This may be serious. Please contact a veterinarian immediately.
medicine for rabbit diarrhea,health_warning,rabbit,medicine,adult,Consult a veterinarian for medical concerns.
medicine for rabbit diarrhea with breathing problem,emergency_warning,rabbit,medicine,adult,This may be serious. Please contact a veterinarian immediately.
How to take care of my rabbit?,general_pet_care,rabbit,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
pet care routine for adult,general_pet_care,rabbit,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
daily care tips for rabbit,general_pet_care,rabbit,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
new pet owner advice,general_pet_care,rabbit,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
how much water should rabbit drink,general_pet_care,rabbit,accessory,adult,"Maintain routine feeding, clean water, hygiene, and activity."
Food under 1000 BDT,product_recommendation,,food,,Please share pet type for better recommendation.
My pet has bleeding,emergency_warning,,medicine,,This may be serious. Please contact a veterinarian immediately.
hello,unknown,,,,Please share pet type and need.
"amar biral khabar khacche na, ki korbo?",health_warning,cat,medicine,adult,Consult a veterinarian for medical concerns.
rabbit er jonno kon food valo?,food_advice,rabbit,food,adult,Rabbit-friendly high-fiber food is best.
